               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,             0.02489,            0.054056,          0.00055621,             0.91362,             0.88004,              0.9476,              0.7437,            0.022816,            0.053633,          0.00084672,            0.004753,            0.004753,            0.004753
                  55,            0.024916,            0.053763,          0.00056809,             0.90902,             0.87801,             0.94655,             0.74129,            0.022838,             0.05407,          0.00087893,            0.004654,            0.004654,            0.004654
                  56,            0.024672,            0.054315,          0.00054294,             0.91198,             0.87978,             0.94675,             0.74475,            0.022788,            0.053865,          0.00091215,            0.004555,            0.004555,            0.004555
                  57,             0.02461,            0.053379,          0.00054391,             0.91784,             0.87515,             0.94694,             0.74385,            0.022768,            0.053481,          0.00093769,            0.004456,            0.004456,            0.004456
                  58,             0.02448,            0.053167,          0.00053772,             0.91074,             0.88163,             0.94781,             0.74479,            0.022592,            0.053433,          0.00087165,            0.004357,            0.004357,            0.004357
                  59,            0.024377,            0.053969,          0.00056257,             0.91326,             0.88041,              0.9472,             0.74419,            0.022711,            0.053673,          0.00085944,            0.004258,            0.004258,            0.004258
                  60,            0.024366,            0.053425,          0.00053972,             0.90686,             0.88474,             0.94617,             0.74438,            0.022641,            0.053718,          0.00091677,            0.004159,            0.004159,            0.004159
                  61,            0.024337,            0.053418,          0.00053476,             0.91373,             0.88133,             0.94791,             0.74701,              0.0227,            0.053313,          0.00085036,             0.00406,             0.00406,             0.00406
                  62,            0.024123,            0.052749,          0.00051714,             0.91589,             0.88179,             0.94778,             0.74689,            0.022649,            0.053419,           0.0008669,            0.003961,            0.003961,            0.003961
                  63,            0.024244,            0.053036,          0.00052593,             0.92074,             0.87574,             0.94741,             0.74747,            0.022637,            0.053581,          0.00089273,            0.003862,            0.003862,            0.003862
                  64,            0.024093,            0.053161,          0.00051006,             0.91328,             0.88416,             0.94838,             0.74703,            0.022591,            0.053461,          0.00086559,            0.003763,            0.003763,            0.003763
                  65,            0.024042,            0.052819,          0.00052134,             0.91593,             0.87973,             0.94835,             0.74794,            0.022641,             0.05349,          0.00082836,            0.003664,            0.003664,            0.003664
                  66,            0.023778,            0.052454,          0.00047858,             0.91563,             0.87802,             0.94674,             0.74709,            0.022539,            0.053776,          0.00086971,            0.003565,            0.003565,            0.003565
                  67,            0.023776,            0.052735,          0.00049348,             0.91484,             0.88298,             0.94865,             0.74875,            0.022472,            0.053143,          0.00078723,            0.003466,            0.003466,            0.003466
                  68,            0.023429,            0.050684,          0.00049081,             0.91301,             0.88285,             0.94741,             0.74918,            0.022369,            0.053215,           0.0007743,            0.003367,            0.003367,            0.003367
                  69,            0.023488,            0.051189,          0.00051992,             0.91023,             0.88262,             0.94665,              0.7506,            0.022339,            0.053418,           0.0007795,            0.003268,            0.003268,            0.003268
                  70,            0.023639,            0.051706,          0.00047835,             0.92177,             0.87354,             0.94767,             0.75233,            0.022246,            0.053152,          0.00079345,            0.003169,            0.003169,            0.003169
                  71,            0.023394,            0.051636,          0.00047704,             0.91442,             0.87872,             0.94791,             0.75236,             0.02229,            0.053147,          0.00077605,             0.00307,             0.00307,             0.00307
                  72,            0.023534,            0.051772,          0.00047449,             0.91347,             0.88221,              0.9475,               0.753,            0.022132,            0.053056,          0.00078843,            0.002971,            0.002971,            0.002971
